"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"8WUX24KC","conferencePaper","2013","Anand, S.; Arazy, Ofer; Mandayam, Narayan B.; Nov, Oded","A Game Theoretic Analysis of Collaboration in Wikipedia","Decision and Game Theory for Security","978-3-319-02786-9","","10.1007/978-3-319-02786-9_3","","Peer production projects such as Wikipedia or open-source software development allow volunteers to collectively create knowledge-based products. The inclusive nature of such projects poses difficult challenges for ensuring trustworthiness and combating vandalism. Prior studies in the area deal with descriptive aspects of peer production, failing to capture the idea that while contributors collaborate, they also compete for status in the community and for imposing their views on the product. In this paper, we investigate collaborative authoring in Wikipedia, where contributors append and overwrite previous contributions to a page. We assume that a contributor’s goal is to maximize ownership of content sections, such that content owned (i.e. originated) by her survived the most recent revision of the page. We model contributors’ interactions to increase their content ownership as a non-cooperative game, where a player’s utility is associated with content owned and cost is a function of effort expended. Our results capture several real-life aspects of contributors interactions within peer-production projects. Namely, we show that at the Nash equilibrium there is an inverse relationship between the effort required to make a contribution and the survival of a contributor’s content. In other words, majority of the content that survives is necessarily contributed by experts who expend relatively less effort than non-experts. An empirical analysis of Wikipedia articles provides support for our model’s predictions. Implications for research and practice are discussed in the context of trustworthy collaboration as well as vandalism.","2013","2025-07-17 05:10:33","2025-07-17 05:10:33","","29-44","","","","","","","","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","","","","","Das, Sajal K.; Nita-Rotaru, Cristina; Kantarcioglu, Murat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DNL2W85P","conferencePaper","2013","Laszka, Aron; Gueye, Assane","Quantifying Network Topology Robustness under Budget Constraints: General Model and Computational Complexity","Decision and Game Theory for Security","978-3-319-02786-9","","10.1007/978-3-319-02786-9_10","","Recently, network blocking game (NBG) models have been introduced and utilized to quantify the vulnerability of network topologies in adversarial environments. In NBG models, the payoff matrix of the game is only “implicitly” given. As a consequence, computing a Nash equilibrium in these games is expected to be harder than in more conventional models, where the payoff matrix is “explicitly” given.","2013","2025-07-17 05:10:33","2025-07-17 05:10:33","","154-174","","","","","","Quantifying Network Topology Robustness under Budget Constraints","","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","","","","","Das, Sajal K.; Nita-Rotaru, Cristina; Kantarcioglu, Murat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YU7FRVR5","conferencePaper","2013","Evers, Lanah; Barros, Ana Isabel; Monsuur, Herman","The Cooperative Ballistic Missile Defence Game","Decision and Game Theory for Security","978-3-319-02786-9","","10.1007/978-3-319-02786-9_6","","The increasing proliferation of ballistic missiles and weapons of mass destruction poses new risks worldwide. For a threatened nation and given the characteristics of this threat a layered ballistic missile defence system strategy appears to be the preferred solution. However, such a strategy involves negotiations with other nations concerning the use of their defence systems as part of the layered defence system. This paper introduces the Cooperative Ballistic Missile Defense Game, $\mathcal{CBMDG}$, to support the strategic negotiations between a threatened nation and the possible coalition nations. The model determines the assignment of ballistic missile interceptors to the coalition nations that minimizes the expected number of interceptors required to achieve the desired defence level in case of an attack. Simultaneously, it identifies the bargaining strength of each coalition of nations, in order to determine the compensation for participating in the layered defence system to protect the threatened nation.","2013","2025-07-17 05:10:33","2025-07-17 05:10:33","","85-98","","","","","","","","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","","","","","Das, Sajal K.; Nita-Rotaru, Cristina; Kantarcioglu, Murat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9AXELR3T","book","2013","","Decision and Game Theory for Security","","978-3-319-02785-2 978-3-319-02786-9","","","http://link.springer.com/10.1007/978-3-319-02786-9","","2013","2025-07-17 05:10:33","2025-07-17 05:10:33","2025-07-17 05:10:33","","","","","","","","Lecture Notes in Computer Science","","","","Springer International Publishing","Cham","","http://www.springer.com/tdm","","","","Crossref","","ISSN: 0302-9743, 1611-3349 DOI: 10.1007/978-3-319-02786-9","","","","","active cyber defense; algorithm analysis and problem complexity; cloud computing; cyber security model; probabilistic modeling; rational multiparty computation","Das, Sajal K.; Nita-Rotaru, Cristina; Kantarcioglu, Murat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A2VMWPAT","conferencePaper","2020","Hussain, Atif; Kuhn, Kristen; Shaikh, Siraj Ahmed","Games for Cybersecurity Decision-Making","HCI in Games","978-3-030-50164-8","","10.1007/978-3-030-50164-8_30","","Decision-makers are often confronted with cybersecurity challenges, which they may not fully comprehend but nonetheless need to critically address. Efficient preparation through cybersecurity games has become an invaluable tool to better prepare strategy and response to cyber incidents. Such games offer the potential for capacity building of decision-makers through a controlled environment, often presenting hypothetical scenarios that are designed to invoke discussion, while decision-making skills are put to the test. While games are acknowledged to be an effective method for such situations, many rely on technical capabilities to address these challenges. However, a key challenge is to understand the factors that influence cybersecurity decision-making. Further, game effectiveness for developing these skills is often not validated. This paper surveys cybersecurity games and compiles a data-set of 46 games to investigate how effective cybersecurity games are for assessing decision-making skills, and determines the state-of-the-art game. Through critical review and analysis of the data-set, a criteria to assess games for decision-making skills is presented. Furthermore, the criteria is applied to ten games, which determined Cyber 9/12 to be the state-of-the-art cybersecurity game for decision-making. The paper concludes with insights into how the assessment criteria can support the development of better decision-making skills through games.","2020","2025-07-17 05:11:22","2025-07-17 05:11:22","","411-423","","","","","","","","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","C:\Users\TinyAIs\Zotero\storage\PQQKHWDC\Hussain et al. - 2020 - Games for Cybersecurity Decision-Making.pdf","","","Capacity-building; Cybersecurity games; Decision-making; Human-computer interaction","Fang, Xiaowen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6W2EBXRG","journalArticle","2025","Kour, Ravdeep; Karim, Ramin; Dersin, Pierre","Modelling cybersecurity strategies with game theory and cyber kill chain","International Journal of System Assurance Engineering and Management","","0976-4348","10.1007/s13198-025-02733-4","https://doi.org/10.1007/s13198-025-02733-4","Digitalisation within industries has many positive opportunities but poses many cybersecurity-related threats. Cybersecurity is a critical concern for many industries, such as railway, aviation, mining, construction, healthcare, and finance, where vital information and operational security are at risk of being compromised. Today, researchers are looking into various solutions to tackle cybersecurity risks while still retaining the desired functionality of the system. However, it is believed that these challenges can be approached by integrating game theory and the cyber kill chain (CKC), which describes the different stages of a cyberattack, to understand the complexities of cybersecurity. Thus, the primary objective of this paper is to demonstrate the application of a strategic game model within the context of cybersecurity, specifically using the cyber kill chain (CKC) model. The focus is on validating the proposed strategic game model through a case study. The case study involves a scenario where defenders select strategies such as “monitor system,” “detecting system,” and “respond to attack,” while attackers choose various attack strategies like “monitoring attack,” “scan the organization's website,” and “develop malicious payloads” within the stages of the CKC. This approach aims to enhance understanding of the complex challenges and facilitate the development of effective cybersecurity solutions. This approach will help in evaluating the effectiveness of different security strategies. The proposed strategic approach uses a non-cooperative game based on mixed strategies. The authors have defined a scenario for simultaneous-move games by estimating values for various elements of the game. By analysing the behaviour of both attacker and defender, the proposed game-based model can help industries develop more effective and efficient security strategies. Further, the proposed model will provide a better understanding of the complex challenges of cybersecurity in industrial contexts. It can also be used to develop appropriate strategies to mitigate cybersecurity risks.","2025-02-21","2025-07-17 05:11:37","2025-07-17 05:11:37","2025-07-17 05:11:37","","","","","","Int J  Syst  Assur  Eng  Manag","","","","","","","","en","","","","","Springer Link","","","","C:\Users\TinyAIs\Zotero\storage\LB2QRPRM\Kour et al. - 2025 - Modelling cybersecurity strategies with game theory and cyber kill chain.pdf","","","Case study; Computer Crime; Cyber kill chain; Cybercrime; Cybersecurity; Game theory; Game Theory; Games Studies; Principles and Models of Security; Probabilities; Security Science and Technology; Strategic approach","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WEERST5Z","conferencePaper","2024","Kour, Ravdeep; Karim, Ramin; Dersin, Pierre","Game Theory and Cyber Kill Chain: A Strategic Approach to Cybersecurity","International Congress and Workshop on Industrial AI and eMaintenance 2023","978-3-031-39619-9","","10.1007/978-3-031-39619-9_33","","Digitalisation within industries is associated with many positive opportunities and simultaneously poses considerable cybersecurity-related threats. Cybersecurity is a critical concern for many industries, such as railway, aviation, mining, healthcare, and finance, where critical information is at risk of being compromised as well as the operations security. Today, researchers are looking into various solutions to tackle cybersecurity risks and still retain the desired function of the system. However, it is believed that these challenges can be approached by the integration of game theory and Cyber Kill Chain (CKC) which describe the different stages of a cyberattack to understand the chaotic situation of cybersecurity. Thus, the objective of the paper is to propose a game-based approach using game theory to address cybersecurity risks within industries by modelling the strategic interaction between attacker and defender in the Cyber Kill Chain (CKC). This approach aims to enhance understanding of the complex challenges and facilitate the development of effective cybersecurity solutions. This approach will help in evaluating the effectiveness of different security strategies. The proposed strategic approach uses a non-cooperative game which is based on mixed strategies. The authors have defined a scenario for simultaneous-move games by estimating values for various elements of the game. By analysing the behaviour of both attacker and defender, the proposed game-based approach can help industries to develop more effective and efficient security strategies. Further, the proposed approach will provide a better understanding of the complex challenges of cybersecurity in industrial contexts. It can also be used to develop appropriate strategies to mitigate cybersecurity risks.","2024","2025-07-17 05:11:43","2025-07-17 05:11:43","","451-463","","","","","","Game Theory and Cyber Kill Chain","","","","","Springer Nature Switzerland","Cham","en","","","","","Springer Link","","","","","","","","Kumar, Uday; Karim, Ramin; Galar, Diego; Kour, Ravdeep","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D89STYXG","bookSection","2021","Hoppa, Mary Ann","From Lessons Learned to Improvements Implemented: Some Roles for Gaming in Cybersecurity Risk Management","Advances in Cybersecurity Management","978-3-030-71381-2","","","https://doi.org/10.1007/978-3-030-71381-2_14","Effective cybersecurity risk management hinges on a strategic blend of people, processes, and technology working together to recognize and prevent attacks; mitigate and minimize negative impacts should attacks succeed; and resume operations after recovery. Ideally, risk management involves processes that engage the entire organization continually and holistically—not just episodic reactions by a few key personnel in times of crisis. The translation of lessons learned into implemented and validated improvements may be a missing or underutilized best practice. This chapter explores ways gaming can be used as a complement to authoritative standards and frameworks to optimize an organization’s cybersecurity posture and preparedness. A variety of gamified approaches are described and presented as useful tools with differentiating value at multiple stages in an ongoing cybersecurity risk management cycle. State-of-the-practice exemplars and successes are cited as are approaches to adapting games to both assess and improve an organization’s cybersecurity posture. The chapter concludes with some speculations about how games focused on cybersecurity can be expected to evolve and gain greater traction for risk management in light of emergent technologies and increasingly complex threat and defense landscapes.","2021","2025-07-17 05:11:48","2025-07-17 05:11:48","2025-07-17 05:11:48","289-314","","","","","","From Lessons Learned to Improvements Implemented","","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","DOI: 10.1007/978-3-030-71381-2_14","","","","","","Daimi, Kevin; Peoples, Cathryn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BDZI7LP6","conferencePaper","2023","Moumouh, Chaimae; Chkouri, Mohamed Yassin; Fernández-Alemán, Jose L.","Cybersecurity Awareness Through Serious Games: A Systematic Literature Review","Emerging Trends in Intelligent Systems & Network Security","978-3-031-15191-0","","10.1007/978-3-031-15191-0_18","","Technological innovations represent a challenge for security professionals and ordinary individuals in many industries, including business, e-learning, and health. This increases the need for more understanding and knowledge of cybersecurity. The worldwide digital system, as well as people’s privacy, are under constant threat in relevant areas such as health, where patients’ data is among the most confidential information. The serious game domain is rapidly expanding, and it focuses on using game elements in non-game situations to reassure learning and motivation among users while maintaining a fun element throughout the procedure. The purpose of this study is to outline existing literature, and investigate the numerous serious games used as a tool to increase cybersecurity skills among employees in different domains.","2023","2025-07-17 05:12:02","2025-07-17 05:12:02","","190-199","","","","","","Cybersecurity Awareness Through Serious Games","","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","","","","","Ben Ahmed, Mohamed; Abdelhakim, Boudhir Anouar; Ane, Bernadetta Kwintiana; Rosiyadi, Didi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RXE5555W","conferencePaper","2015","Merlevede, Jonathan S. A.; Holvoet, Tom","Game Theory and Security: Recent History and Future Directions","Decision and Game Theory for Security","978-3-319-25594-1","","10.1007/978-3-319-25594-1_19","","Until twenty years ago, the application of game theory (GT) was mostly limited to toy examples. Today, as a result of major technological and algorithmic advances, researchers use game-theoretical models to motivate complex security decisions relating to real-life security problems. This requires models that are an accurate reflection of reality. This paper presents a biased bird’s-eye view of the security-related GT research of the past decade. It presents this research as a move towards increasingly accurate and comprehensive models. We discuss the need for adversarial modeling as well as the internalization of externalities due to security interdependencies. Finally, we identify three promising directions for future research: relaxing common game-theoretical assumptions, creating models that model interdependencies as well as a strategic adversary and modelling interdependencies between attackers.","2015","2025-07-17 05:12:09","2025-07-17 05:12:09","","334-345","","","","","","Game Theory and Security","","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","","","","","Khouzani, MHR; Panaousis, Emmanouil; Theodorakopoulos, George","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QCUUXXT8","bookSection","2015","Alpcan, Tansu","Game Theory for Security","Encyclopedia of Systems and Control","978-1-4471-5058-9","","","https://link.springer.com/rwe/10.1007/978-1-4471-5058-9_37","Game theory provides a mature mathematical foundation for making security decisions in a principled manner. Security games help formalizing security problems and decisions using quantitative models. The resulting analytical frameworks lead to better allocation of...","2015","2025-07-17 05:12:20","2025-07-17 05:12:20","2025-07-17 05:12:20","495-499","","","","","","","","","","","Springer, London","","en","","","","","link.springer.com","","DOI: 10.1007/978-1-4471-5058-9_37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5NGHTUU5","bookSection","2018","Rajbhandari, Lisa; Snekkenes, Einar","Utilizing Game Theory for Security Risk Assessment","Game Theory for Security and Risk Management: From Theory to Practice","978-3-319-75268-6","","","https://doi.org/10.1007/978-3-319-75268-6_1","Security risk assessment provides valuable insights about potential security risks to an organization to protect their critical information assets. With an ability to comprehend security risks, organizations can make effective decision to allocate their budget to mitigate or treat those risks (often based on the severity of the risk). Thus, it is paramount to identify and assess risk scenarios properly to manage those risks. Subjective judgment due to the lack of statistical data and the adaptive nature of the adversary may affect the credibility of the assessments when using classical risk assessment methods. Even though game theoretical approach formulates robust mathematical models for risk assessment without the reliance on subjective probabilities, it is seldom used in organizations. Thus, this chapter expands on the existing mapping between game theory and risk assessment process and terminology to provide further insight into how game theory can be utilized for risk assessment. In addition, we provide our view on how cooperative game theoretical model may be used to capture opportunity risk, which is usually overlooked in many classical risk assessment methods.","2018","2025-07-17 05:12:25","2025-07-17 05:12:25","2025-07-17 05:12:25","3-19","","","","","","","","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","DOI: 10.1007/978-3-319-75268-6_1","","","","","","Rass, Stefan; Schauer, Stefan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5THCFVZC","bookSection","2019","Alpcan, Tansu","Game Theory for Security","Encyclopedia of Systems and Control","978-1-4471-5102-9","","","https://link.springer.com/rwe/10.1007/978-1-4471-5102-9_37-2","Game theory provides a mature mathematical foundation for making security decisions in a principled manner. Security games help formalizing security problems and decisions using quantitative models. The resulting analytical frameworks lead to better allocation of...","2019","2025-07-17 05:12:43","2025-07-17 05:12:43","2025-07-17 05:12:43","1-5","","","","","","","","","","","Springer, London","","en","","","","","link.springer.com","","DOI: 10.1007/978-1-4471-5102-9_37-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3WP8FYEQ","bookSection","2018","Rajbhandari, Lisa; Snekkenes, Einar","Utilizing Game Theory for Security Risk Assessment","Game Theory for Security and Risk Management: From Theory to Practice","978-3-319-75268-6","","","https://doi.org/10.1007/978-3-319-75268-6_1","Security risk assessment provides valuable insights about potential security risks to an organization to protect their critical information assets. With an ability to comprehend security risks, organizations can make effective decision to allocate their budget to mitigate or treat those risks (often based on the severity of the risk). Thus, it is paramount to identify and assess risk scenarios properly to manage those risks. Subjective judgment due to the lack of statistical data and the adaptive nature of the adversary may affect the credibility of the assessments when using classical risk assessment methods. Even though game theoretical approach formulates robust mathematical models for risk assessment without the reliance on subjective probabilities, it is seldom used in organizations. Thus, this chapter expands on the existing mapping between game theory and risk assessment process and terminology to provide further insight into how game theory can be utilized for risk assessment. In addition, we provide our view on how cooperative game theoretical model may be used to capture opportunity risk, which is usually overlooked in many classical risk assessment methods.","2018","2025-07-17 05:12:47","2025-07-17 05:12:47","2025-07-17 05:12:36","3-19","","","","","","","","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","DOI: 10.1007/978-3-319-75268-6_1","","","","","","Rass, Stefan; Schauer, Stefan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GSLUA65H","bookSection","2018","König, Sandra; Gouglidis, Antonios","Random Damage in Interconnected Networks","Game Theory for Security and Risk Management: From Theory to Practice","978-3-319-75268-6","","","https://doi.org/10.1007/978-3-319-75268-6_8","When looking at security incidents in Industrial Control System (ICS) networks, it appears that the interplay between an attacker and a defender can be modeled using a game-theoretic approach. Preparing a game require several steps, including the definition of attack and defense strategies, estimation of payoffs, etc. Specifically, during the preparation of a game, the estimation of payoffs (i.e. damage) for each possible scenario is one of its core tasks. However, damage estimation is not always a trivial task since it cannot be easily predicted, primarily due to incomplete information about the attack or due to external influences (e.g. weather conditions, etc.). Therefore, it is evident that describing the payoffs by means of a probability distribution may be an appropriate approach to deal with this uncertainty. In this chapter, we show that if the network structure of an organization is known, it is possible to estimate the payoff distribution by means of a stochastic spreading model. To this extend, the underlying network is modeled as a graph whose edges are classified depending on their properties. Each of these classes has a different probability of failure (e.g. probability of transmitting a malware). Finally, we demonstrate how these probabilities can be estimated, even if only subjective information is available.","2018","2025-07-17 05:12:47","2025-07-17 05:12:47","2025-07-17 05:12:37","185-201","","","","","","","","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","DOI: 10.1007/978-3-319-75268-6_8","","","","","","Rass, Stefan; Schauer, Stefan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FIAQZTAZ","bookSection","2018","Rass, Stefan","Decision Making When Consequences Are Random","Game Theory for Security and Risk Management: From Theory to Practice","978-3-319-75268-6","","","https://doi.org/10.1007/978-3-319-75268-6_2","The intricacy of decision making is often due to uncertainty about the data to base a decision upon, and the consequences that the decision implies. Commonly, decision options are rated based on their expected utility. This approach is intuitive and successful in many cases, but has difficulties when the utility to be associated with an action is unknown or at least uncertain. Both problems can be addressed by accepting randomness as an intrinsic part of the utility itself, leading to defining optimal decisions in terms of stochastic orders rather than upon benchmark figures (only). For one such (even total) stochastic order, we give a complete construction, accompanied by examples and procedures how to get a (stochastically optimal) decision. A discussion of how game theory can be put on top of the stochastic order, as well as how the ordering can be applied to general IT risk management closes the chapter.","2018","2025-07-17 05:12:47","2025-07-17 05:12:47","2025-07-17 05:12:37","21-46","","","","","","","","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","DOI: 10.1007/978-3-319-75268-6_2","","","","","","Rass, Stefan; Schauer, Stefan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KRJC93HD","bookSection","2018","Hota, Ashish R.; Clements, Abraham A.; Bagchi, Saurabh; Sundaram, Shreyas","A Game-Theoretic Framework for Securing Interdependent Assets in Networks","Game Theory for Security and Risk Management: From Theory to Practice","978-3-319-75268-6","","","https://doi.org/10.1007/978-3-319-75268-6_7","Large-scale networked systems, such as the power grid, are comprised of a large number of interconnected assets managed by multiple self-interested stakeholders. The interdependencies between the assets play a critical role in the security of the overall system, especially against strategic attackers who exploit these interdependencies to target valuable assets. In this work, we develop a general game-theoretic framework to model the security investments of resource-constrained stakeholders against targeted attacks. We consider two complementary problems: (i) where defenders are given a budget to minimize expected loss due to attacks and (ii) where defenders minimize security investment cost subject to a maximum security risk they are willing to tolerate per each valuable asset. For both problems, we establish the existence of Nash equilibria and show that the problem of computing the optimal defense allocation by a central authority and the (decentralized) problem of computing the best response for a single defender can be formulated as convex optimization problems. We then show that our framework can be applied to determine deployment of moving target defense (MTD) in networks. We first apply the game-theoretic framework on the IEEE 300 bus power grid network and compare the optimal expected loss (respectively, security investment cost) under centralized and Nash equilibrium defense allocations. We then show how our framework can be used to compute optimal deployment of MTD on an e-commerce system.","2018","2025-07-17 05:12:47","2025-07-17 05:12:47","2025-07-17 05:12:37","157-184","","","","","","","","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","DOI: 10.1007/978-3-319-75268-6_7","","","","","","Rass, Stefan; Schauer, Stefan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I9HE2PWK","bookSection","2018","Schauer, Stefan","A Risk Management Approach for Highly Interconnected Networks","Game Theory for Security and Risk Management: From Theory to Practice","978-3-319-75268-6","","","https://doi.org/10.1007/978-3-319-75268-6_12","Critical infrastructures together with their utility networks play a crucial role in the societal and individual day-to-day life. Thus, the estimation of potential threats and security issues as well as a proper assessment of the respective risks is a core duty of utility providers. Despite the fact that utility providers operate several networks (e.g., communication, control, and utility networks), most of today’s risk management tools only focus on one of these networks. In this chpater, we will give an overview of a novel risk management process specifically designed for estimating threats and assessing risks in highly interconnected networks. Based on the internationally accepted standard for risk management, ISO 31000, our risk management process integrates various methodologies and tools supporting the different steps of the process from risk identification up to risk treatment. At the heart of this process, a novel game-theoretic approach for risk minimization and risk treatment is applied. This approach is specifically designed to take the information coming from the various tools into account and model the complex interplay between the heterogeneous networks, systems, and operators within a utility provider. It operates on qualitative and semiquantitative information as well as empirical data and uses distribution-valued payoffs to account for the unpredictable effects occurring in this highly uncertain environment.","2018","2025-07-17 05:12:47","2025-07-17 05:12:47","2025-07-17 05:12:37","285-311","","","","","","","","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","DOI: 10.1007/978-3-319-75268-6_12","","","","","","Rass, Stefan; Schauer, Stefan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9ZZV8HCD","bookSection","2018","König, Sandra; Gouglidis, Antonios; Green, Benjamin; Solar, Alma","Assessing the Impact of Malware Attacks in Utility Networks","Game Theory for Security and Risk Management: From Theory to Practice","978-3-319-75268-6","","","https://doi.org/10.1007/978-3-319-75268-6_14","Utility networks are becoming more and more interconnected. Besides the natural physical interdependencies (e.g., water networks heavily depend on power grids, etc.), utility networks are nowadays often monitored and operated by industrial control systems (ICS). While these systems enhance the level of control over utility networks, they also enable new forms of attacks, such as cyberattacks. During the last years, cyberattacks have occurred more frequently with sometimes a significant impact on the company as well as the society. The first step toward preventing such incidents is to understand how an infection of one component influences the rest of the network. This malware spreading can be modeled as a stochastic process on a graph where edges transmit an infection with a specific probability. In practice, this probability depends on the type of the malware (e.g., ransomware, spyware, virus, etc.) as well as on the type of the connection between the nodes (e.g., physical or logical connections). In this chapter, we illustrate how the abstract model can be put into practice for a concrete use case.","2018","2025-07-17 05:12:47","2025-07-17 05:12:47","2025-07-17 05:12:37","335-351","","","","","","","","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","DOI: 10.1007/978-3-319-75268-6_14","","","","","","Rass, Stefan; Schauer, Stefan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3QGCWGL4","bookSection","2018","Gouglidis, Antonios; König, Sandra; Green, Benjamin; Rossegger, Karl; Hutchison, David","Protecting Water Utility Networks from Advanced Persistent Threats: A Case Study","Game Theory for Security and Risk Management: From Theory to Practice","978-3-319-75268-6","","","https://doi.org/10.1007/978-3-319-75268-6_13","The sovereignty and well-being of nations are highly dependent on the continuous and uninterrupted operation of critical infrastructures. Thus, the protection of utilities that provision critical services (e.g., water, electricity, telecommunications) is of vital importance given the severity imposed by any failure of these services. Recent security incidents in the context of critical infrastructures indicate that threats in such environments appear to be increasing both in frequency and intensity. The complexity of typical critical infrastructures is among the factors that make these environments vulnerable to threats. One of the most problematic types of threat is an advanced persistent threat (APT). This usually refers to a sophisticated, targeted, and costly attack that employs multiple attack vectors to gain access to the target system, then to operate in stealth mode when penetration is achieved, and to exfiltrate data or cause failures inside the system. In this chapter, we demonstrate how a set of processes developed in the context of HyRiM’s framework can assist in minimizing the damage caused to a utility organization that is subjected to an APT style of attack. Specifically, the framework is demonstrated using data from a real-world water utility network and an industrial control system (ICS) test-bed, and in which optimal defensive strategies are investigated.","2018","2025-07-17 05:12:47","2025-07-17 05:12:47","2025-07-17 05:12:37","313-333","","","","","","Protecting Water Utility Networks from Advanced Persistent Threats","","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","DOI: 10.1007/978-3-319-75268-6_13","","","","","","Rass, Stefan; Schauer, Stefan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
