Paper ID,Year,Authours,Title,Venue,Decision,Category,Priority,Notes,URL/DOI
PA3CFZ5D,2013,"Laszka, Aron; Johnson, Benjamin; Grossklags, Jens",Mitigation of Targeted and Non-targeted Covert Attacks as a Timing Game,Decision and Game Theory for Security,Maybe,Game Theory for Security,Medium,"Looks at covert attacks, and the defender moves/strategies in securing a resource even when the control state of the resource is unknown (covert attacks). Might be useful in considering GT approaches to AI security economics given black boxes etc etc",10.1007/978-3-319-02786-9_11
E2KMC4ZJ,2013,"Zhu, Quanyan; Başar, Tamer",Game-Theoretic Approach to Feedback-Driven Multi-stage Moving Target Defense,Decision and Game Theory for Security,Maybe,Game Theory for Security,Medium,MTD through dynamic attack surface manipulation by the defender. Imm. Thought of introducing random outputs given x randomness as a method of mitigating/defeating AI systems vulnerability scanning.,10.1007/978-3-319-02786-9_15
EFL6NLK5,2013,"Barreto, Carlos; Cárdenas, Alvaro A.; Quijano, Nicanor",Controllability of Dynamical Systems: Threat Models and Reactive Security,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-319-02786-9_4
QIB2ZWIW,2013,"Lu, Wenlian; Xu, Shouhuai; Yi, Xinlei",Optimizing Active Cyber Defense,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-319-02786-9_13
6RGZGFSM,2013,"Wallrabenstein, John Ross; Clifton, Chris",Equilibrium Concepts for Rational Multiparty Computation,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-319-02786-9_14
QZ9CI4W2,2013,"Jiang, Albert Xin; Nguyen, Thanh H.; Tambe, Milind; Procaccia, Ariel D.",Monotonic Maximin: A Robust Stackelberg Solution against Boundedly Rational Followers,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT. Has some interesting focuses on bounded rationaility and Stackelberg games but appears theoretical in nature.,10.1007/978-3-319-02786-9_8
GNRVW9TU,2013,"Kurve, Aditya; Miller, David J.; Kesidis, George",Defeating Tyranny of the Masses in Crowdsourcing: Accounting for Low-Skilled and Adversarial Workers,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-319-02786-9_9
SYP3RUDN,2013,"Buldas, Ahto; Lenin, Aleksandr",New Efficient Utility Upper Bounds for the Fully Adaptive Model of Attack Trees,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-319-02786-9_12
B3VLN6MU,2013,"Akyol, Emrah; Rose, Kenneth; Başar, Tamer",On Communication over Gaussian Sensor Networks with Adversaries: Further Results,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-319-02786-9_1
8WUX24KC,2013,"Anand, S.; Arazy, Ofer; Mandayam, Narayan B.; Nov, Oded",A Game Theoretic Analysis of Collaboration in Wikipedia,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-319-02786-9_3
DNL2W85P,2013,"Laszka, Aron; Gueye, Assane",Quantifying Network Topology Robustness under Budget Constraints: General Model and Computational Complexity,Decision and Game Theory for Security,Maybe,Game Theory for Security,Low,Looks at the economics of GT in security via network blocking games. Might be useful for the economic models alone.,10.1007/978-3-319-02786-9_10
YU7FRVR5,2013,"Evers, Lanah; Barros, Ana Isabel; Monsuur, Herman",The Cooperative Ballistic Missile Defence Game,Decision and Game Theory for Security,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-319-02786-9_6
A2VMWPAT,2020,"Hussain, Atif; Kuhn, Kristen; Shaikh, Siraj Ahmed",Games for Cybersecurity Decision-Making,HCI in Games,Exclude,,,Focuses on a non-compatible application of games in cybersecurity.,10.1007/978-3-030-50164-8_30
6W2EBXRG,2025,"Kour, Ravdeep; Karim, Ramin; Dersin, Pierre",Modelling cybersecurity strategies with game theory and cyber kill chain,International Journal of System Assurance Engineering and Management,Include,Game Theory for Security,High,Integrates game theory and cyber kill chain approaches for optimal defence deployment. Has a case study.,10.1007/s13198-025-02733-4
D89STYXG,2021,"Hoppa, Mary Ann",From Lessons Learned to Improvements Implemented: Some Roles for Gaming in Cybersecurity Risk Management,Advances in Cybersecurity Management,Exclude,,,Looks at games in security risk management.,https://doi.org/10.1007/978-3-030-71381-2_14
BDZI7LP6,2023,"Moumouh, Chaimae; Chkouri, Mohamed Yassin; Fernández-Alemán, Jose L.",Cybersecurity Awareness Through Serious Games: A Systematic Literature Review,Emerging Trends in Intelligent Systems & Network Security,Exclude,,,Looks at games in security risk management.,10.1007/978-3-031-15191-0_18
RXE5555W,2015,"Merlevede, Jonathan S. A.; Holvoet, Tom",Game Theory and Security: Recent History and Future Directions,Decision and Game Theory for Security,Include,Game Theory for Security,High,Foundational work in game theory for security.,10.1007/978-3-319-25594-1_19
QCUUXXT8,2015,"Alpcan, Tansu",Game Theory for Security,Encyclopedia of Systems and Control,Include,Game Theory for Security,High,Foundational work in game theory for security.,https://link.springer.com/rwe/10.1007/978-1-4471-5058-9_37
5NGHTUU5,2018,"Rajbhandari, Lisa; Snekkenes, Einar",Utilizing Game Theory for Security Risk Assessment,Game Theory for Security and Risk Management: From Theory to Practice,Include,Game Theory for Security,Medium,Mappings between game theory and risk assessment. Covers opportunity risk.,https://doi.org/10.1007/978-3-319-75268-6_1
GSLUA65H,2018,"König, Sandra; Gouglidis, Antonios",Random Damage in Interconnected Networks,Game Theory for Security and Risk Management: From Theory to Practice,Exclude,,,Focuses on a non-compatible application of GT.,https://doi.org/10.1007/978-3-319-75268-6_8
FIAQZTAZ,2018,"Rass, Stefan",Decision Making When Consequences Are Random,Game Theory for Security and Risk Management: From Theory to Practice,Include,Game Theory for Security,Medium,Decision options and their utility when utility is unknown. Speaks to randomness aspect. ,https://doi.org/10.1007/978-3-319-75268-6_2
KRJC93HD,2018,"Hota, Ashish R.; Clements, Abraham A.; Bagchi, Saurabh; Sundaram, Shreyas",A Game-Theoretic Framework for Securing Interdependent Assets in Networks,Game Theory for Security and Risk Management: From Theory to Practice,Exclude,,,Focuses on a non-compatible application of GT.,https://doi.org/10.1007/978-3-319-75268-6_7
I9HE2PWK,2018,"Schauer, Stefan",A Risk Management Approach for Highly Interconnected Networks,Game Theory for Security and Risk Management: From Theory to Practice,Include,Game Theory for Security,Medium,Uses ISO31k with custom methods and tooling for game-theoretic risk management,https://doi.org/10.1007/978-3-319-75268-6_12
9ZZV8HCD,2018,"König, Sandra; Gouglidis, Antonios; Green, Benjamin; Solar, Alma",Assessing the Impact of Malware Attacks in Utility Networks,Game Theory for Security and Risk Management: From Theory to Practice,Exclude,,,Focuses on a non-compatible application of GT.,https://doi.org/10.1007/978-3-319-75268-6_14
3QGCWGL4,2018,"Gouglidis, Antonios; König, Sandra; Green, Benjamin; Rossegger, Karl; Hutchison, David",Protecting Water Utility Networks from Advanced Persistent Threats: A Case Study,Game Theory for Security and Risk Management: From Theory to Practice,Exclude,,,Focuses on a non-compatible application of GT.,https://doi.org/10.1007/978-3-319-75268-6_13
3UYR2BXZ,2018,"Alshawish, Ali; Abid, Mohamed Amine; de Meer, Hermann; Schauer, Stefan; König, Sandra; Gouglidis, Antonios; Hutchison, David",G-DPS: A Game-Theoretical Decision-Making Framework for Physical Surveillance Games,Game Theory for Security and Risk Management: From Theory to Practice,Exclude,,,Focuses on a non-compatible application of GT.,https://doi.org/10.1007/978-3-319-75268-6_6
PTBK8YDL,2018,"Huang, Linan; Chen, Juntao; Zhu, Quanyan",Factored Markov Game Theory for Secure Interdependent Infrastructure Networks,Game Theory for Security and Risk Management: From Theory to Practice,Exclude,,,Specific to critical infrastructure.,https://doi.org/10.1007/978-3-319-75268-6_5
ZBR432TP,2018,"Zambrano, Alberto; Caceres, Santiago; Martinez, Ana Isabel",Smart SECPLAN: A Process Implementation Tool for Hybrid Risk Management,Game Theory for Security and Risk Management: From Theory to Practice,Exclude,,,Focuses on a non-compatible application of GT.,https://doi.org/10.1007/978-3-319-75268-6_16
DJXU64CQ,2018,"Rass, Stefan",Security Strategies and Multi-Criteria Decision Making,Game Theory for Security and Risk Management: From Theory to Practice,Include,Game Theory for Security,High,Useful analysis of security strategies in game-theoretic terms.,https://doi.org/10.1007/978-3-319-75268-6_3
9EXPYB8U,2018,"Ismail, Ziad; Leneutre, Jean; Bateman, David; Chen, Lin",Managing Security Risks Interdependencies Between ICT and Electric Infrastructures: A Game Theoretical Analysis,Game Theory for Security and Risk Management: From Theory to Practice,Exclude,,,Focuses on a non-compatible application of GT.,https://doi.org/10.1007/978-3-319-75268-6_10
MSIIDP8E,2018,"Alshawish, Ali; Abid, Mohamed Amine; de Meer, Hermann",Game-Theoretic Optimization for Physical Surveillance of Critical Infrastructures: A Case Study,Game Theory for Security and Risk Management: From Theory to Practice,Exclude,,,Focuses on a non-compatible application of GT.,https://doi.org/10.1007/978-3-319-75268-6_15
G6575CN2,2018,"Rasouli, Mohammad; Miehling, Erik; Teneketzis, Demosthenis",A Scalable Decomposition Method for the Dynamic Defense of Cyber Networks,Game Theory for Security and Risk Management: From Theory to Practice,Include,Game Theory for Security,High,Breaks down an approach to solving the computational cost of optimal minimax defence strategies through a scalable decomposition method. ,https://doi.org/10.1007/978-3-319-75268-6_4
7ZS7MLD8,2018,"Hong, Tianqi; de León, Francisco; Zhu, Quanyan",Optimal Dispatch of Electrical Transmission Systems Considering Interdependencies with Natural Gas Systems,Game Theory for Security and Risk Management: From Theory to Practice,Exclude,,,Focuses on a non-compatible application of GT.,https://doi.org/10.1007/978-3-319-75268-6_9
IU4KV5JS,2018,"Kamhoua, Charles A.; Kwiat, Luke; Kwiat, Kevin A.; Park, Joon S.; Zhao, Ming; Rodriguez, Manuel",Security and Interdependency in a Public Cloud: A Game-Theoretic Approach,Game Theory for Security and Risk Management: From Theory to Practice,Exclude,,,Focuses on a non-compatible application of GT.,https://doi.org/10.1007/978-3-319-75268-6_11
TL6ZC6RS,2021,"Ait Temghart, Abdelkarim; Outanoute, M’hamed; Marwan, Mbarek",Game Theoretic Approaches to Mitigate Cloud Security Risks: An Initial Insight,Business Intelligence,Include,Game Theory for Security Economics,High,Looks at the economics of GT in cloud-based systems via security policies.,10.1007/978-3-030-76508-8_24
3HF42WR6,2024,"Gill, Komal Singh; Sharma, Anju; Saxena, Sharad",A Systematic Review on Game-Theoretic Models and Different Types of Security Requirements in Cloud Environment: Challenges and Opportunities,Archives of Computational Methods in Engineering,Maybe,Game Theory for Security,Medium,Looks at Game Theory in Cloud Computing security.,https://doi.org/10.1007/s11831-024-10095-6
YPHIX5D6,2015,"Aldribi, Abdulaziz; Traore, Issa",A Game Theoretic Framework for Cloud Security Transparency,Network and System Security,Exclude,,,"Focuses on a non-compatible application of GT. AI providers generally do disclose information about vulnberabilities etc, and their security measures.",10.1007/978-3-319-25645-0_37
A28PS2ZL,2019,"Sane, Bernard Ousmane; Babou, Cheikh Saliou Mbacke; Fall, Doudou; Niang, Ibrahima",A Survey of Game Theoretic Solutions for Cloud Computing Security Issues,Innovations and Interdisciplinary Solutions for Underserved Areas,Exclude,,,Focuses on a non-compatible application of GT.,10.1007/978-3-030-34863-2_1
A2EKYME6,2021,"Bertino, Elisa; Kantarcioglu, Murat; Akcora, Cuneyt Gurcan; Samtani, Sagar; Mittal, Sudip; Gupta, Maanak",AI for Security and Security for AI,Proceedings of the Eleventh ACM Conference on Data and Application Security and Privacy,Include,AI Security,High,"Examines the usefulness of AI, and the security aspects of AI",https://doi.org/10.1145/3422337.3450357
AATTAD8J,2019,"Agrawal, Ajay; Gans, Joshua; Goldfarb, Avi",The Economics of Artificial Intelligence: An Agenda,,Include,AI Economics,High,Provides framework for understanding the economic impact of AI,
7H89E56S,2023,"Bosovska, Myroslava; Boiko, Margaryta; Bovsh, Liudmyla; Okhrimenko, Alla",Artificial Intelligence in Ensuring the Business Economic Security,2023 IEEE 5th International Conference on Modern Electrical and Energy System (MEES),Include,AI Security,High,Uses Ukraine-Russo war and attacks on energy grids. Examines AI as a method of strengthening business economic security.,https://ieeexplore.ieee.org/abstract/document/10402367
EI65Z8CP,2021,"Raimundo, Ricardo; Rosário, Albérico",The Impact of Artificial Intelligence on Data System Security: A Literature Review,Sensors,Exclude,,,Focuses on a non-compatible application of AI.,https://www.mdpi.com/1424-8220/21/21/7029
WML4YPFS,,"Trifonov, Roumen; Manolov, Slavcho; Yoshinov, Radoslav; Tsochev, Georgi; Pavlova, Galya",An adequate response to new Cyber Security challenges through Artificial Intelligence methods. Applications in Business and Economics.,,Exclude,,,,
JPEM6SXR,2020,"Sarma, Meera; Matheus, Thomas; Senaratne, Chaminda",Artificial Intelligence and Cyber Security: A New Pathway for Growth in Emerging Economies via the Knowledge Economy?,"Business Practices, Growth and Economic Policy in Emerging Markets",Exclude,,,Focuses on a non-compatible application of AI.,https://www.worldscientific.com/doi/abs/10.1142/9789811221750_0004
8FGKV3G2,2017,"Osoba, Osonde; Welser, William",The Risks of Artificial Intelligence to Security and the Future of Work,,Exclude,,,Focuses on a non-compatible application of AI.,https://www.rand.org/pubs/perspectives/PE237.html
K6ELQFVG,2019,"Shokhnekh, Anna V.; Mironova, Olga A.; Moiseeva, Lilia R.; Yakovleva, Liliya Y.; Evstafieva, Alsu K.",Provision of Innovational and Economic Security of Small Business in the Internet Space of Cyber-Economy on the Platform of Cognitive Assistants of Artificial Intelligence,Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT,Exclude,,,Focuses on a non-compatible application of AI.,https://doi.org/10.1007/978-3-030-13397-9_106
X8Q24GQA,2021,"Schmidt, Eric; Work, Robert; Catz, Safra; Horovitz, Eric; Chien, Steve; Jassy, Andrew; Clyburn, Mignon; Louie, Gilman; Darby, Chris; Mark, William; Ford, Kenneth; Griffiths, Jose-marie; Mcfarland, Katharina; Moore, Andrew",Final Report: National Security Commission on Artificial Intelligence (AI),,Exclude,,,Focuses on a non-compatible application of AI.,https://apps.dtic.mil/sti/html/trecms/AD1124333/
N665XA8D,2019,"N, Radulov",Artificial intelligence and security. Security 4.0,Security & Future,Maybe,AI for Security,Low,Examines AI as a neccesary component of security systems in a high-data accumulation and temporally pressured security environment,https://stumejournals.com/journals/confsec/2019/1/3
Z6DBGL4Q,2024,"Kryvyi, S.; Hoherchak, H.",Analyzing Natural-Language Knowledge Under Uncertainty on the Basis of Description Logics,Cybernetics and Systems Analysis,Exclude,,,Focuses on a non-compatible application of AI.,10.1007/s10559-024-00643-0
AKCAHEC6,2024,"Zhao, Ping; Li, Xuerong; Wang, Shouyang",Understanding Human and Machine Interaction from Decision Perspective: An Empirical Study Based on the Game of Go,Journal of Systems Science and Complexity,Exclude,,,Focuses on a non-compatible application of AI.,10.1007/s11424-024-1450-y
L4MQVHE7,2025,"Atoyev, K. L.; Knopov, P. S.",Mathematical Model of Risk Assessment for Critical Infrastructure,Cybernetics and Systems Analysis,Exclude,,,Focuses on a non-compatible application of decision theory.,10.1007/s10559-025-00760-4
VBCFB2GQ,2023,"Semenov, A. L.",Artificial Intelligence in Society,Doklady Mathematics,Exclude,,,Focuses on a non-compatible application of AI.,10.1134/S106456242355001X
W6TGRUJH,2024,"Semenov, A. L.","Digital World, Mathematics, and Education",Doklady Mathematics,Exclude,,,Focuses on a non-compatible application of AI.,10.1134/S1064562424702284
JWDSMWVF,2025,"Lozi, René","Will We Continue to Use Chaotic Attractors in Science for a Long Time, or Will They only Be a Passing Curiosity?","New Developments in Discrete Dynamical Systems, Difference Equations, and Applications",Exclude,,,Focuses on a non-compatible application of chaos theory and dynamical systems.,10.1007/978-3-031-82003-8_10
AS8U8SLP,2023,"Ermolieva, T.; Ermoliev, Y.; Havlik, P.; Lessa-Derci-Augustynczik, A.; Komendantova, N.; Kahil, T.; Balkovic, J.; Skalsky, R.; Folberth, C.; Knopov, P. S.; Wang, G.","Connections between Robust Statistical Estimation, Robust Decision-Making with Two-Stage Stochastic Optimization, and Robust Machine Learning Problems",Cybernetics and Systems Analysis,Exclude,,,Focuses on a non-compatible application of AI.,10.1007/s10559-023-00573-3
HC85TCIP,2025,"Smaldino, Paul E.; Russell, Adam; Zefferman, Matthew R.; Donath, Judith; Foster, Jacob G.; Guilbeault, Douglas; Hilbert, Martin; Hobson, Elizabeth A.; Lerman, Kristina; Miton, Helena; Moser, Cody; Lasser, Jana; Schmer-Galunder, Sonja; Shapiro, Jacob N.; Zhong, Qiankun; Patt, Dan",Information architectures: a framework for understanding socio-technical systems,npj Complexity,Exclude,,,Focuses on a non-compatible application of information architectures (Ias).,10.1038/s44260-025-00037-z
VD43HTKG,2024,"Aragón-Artacho, Francisco J.; Goberna, Miguel A.",The Impact of Political Decisions on Mathematics,Mathematics in Politics and Governance,Exclude,,,Focuses on political decisions and their impact on mathematics.,https://doi.org/10.1007/978-3-031-52776-0_6
UVTUFFTW,2024,"Charpentier, Arthur",Introduction,"Insurance, Biases, Discrimination and Fairness",Exclude,,,Focuses on a non-compatible application of AI.,https://doi.org/10.1007/978-3-031-49783-4_1
4N2JK99F,2019,"Etesami, S. Rasoul; Başar, Tamer",Dynamic Games in Cyber-Physical Security: An Overview,Dynamic Games and Applications,Include,Game Theory for Security,Medium,Reviews and focuses on dynamic game analysis of cyber-physical security problems,10.1007/s13235-018-00291-y
U5GC6DV4,2023,"Zheng, Chao",Multilevel Monte Carlo simulation for the Heston stochastic volatility model,Advances in Computational Mathematics,Exclude,,,Focuses on a non-compatible application of computational math.,10.1007/s10444-023-10076-6
ZIUCEYQT,2020,"Shibuya, Kazuhiko",Digital Social Science,Digital Transformation of Identity in the Age of Artificial Intelligence,Exclude,,,Focuses on a non-compatible application of AI.,https://doi.org/10.1007/978-981-15-2248-2_1
ETIU4P32,2020,"Cotae, Paul; Kang, Myong; Velazquez, Alexander",A Cybersecurity Model for Decision-Making Problems Under Uncertainty Using Game Theory,,Include,Game Theory for Security,Medium,Provides detailed examples and numerical reuslts to support a novel game-theoretic model for cybersecurity.,https://ieeexplore.ieee.org/document/9141991/
PZMG4XCK,2018,"Attiah, Afraa; Chatterjee, Mainak; Zou, Cliff C.",A Game Theoretic Approach to Model Cyber Attack and Defense Strategies,2018 IEEE International Conference on Communications (ICC),Exclude,,,Focuses on a non-compatible application of game theory and security.,https://ieeexplore.ieee.org/document/8422719
62ET3AEH,2024,"Hausken, Kjell; Welburn, Jonathan W.; Zhuang, Jun",A Review of Attacker–Defender Games and Cyber Security,Games,Include,Game Theory for Security,Medium,A review paper for game theory and cyber security.,https://www.mdpi.com/2073-4336/15/4/28
LB2QXUJQ,2025,"Hausken, Kjell; Welburn, Jonathan W.; Zhuang, Jun",A Review of Game Theory and Risk and Reliability Analysis in Infrastructures and Networks,Reliability Engineering & System Safety,Exclude,,,Focuses on a non-compatible application of game theory and security.,https://www.sciencedirect.com/science/article/pii/S0951832025003242
U9AXYICS,2020,"Morovat, Katanosh; Panda, Brajendra",A Survey of Artificial Intelligence in Cybersecurity,2020 International Conference on Computational Science and Computational Intelligence (CSCI),Exclude,,,Focuses on a non-compatible application of AI in security.,https://ieeexplore.ieee.org/document/9458190
MCYU9MJ9,2021,"Kong, Zixiao; Xue, Jingfeng; Wang, Yong; Huang, Lu; Niu, Zequn; Li, Feng",A Survey on Adversarial Attack in the Age of Artificial Intelligence,Wireless Communications and Mobile Computing,Exclude,,,Focuses on a non-compatible application of AI security.,https://onlinelibrary.wiley.com/doi/abs/10.1155/2021/4907754
KBASGEL5,2024,"Yao, Yifan; Duan, Jinhao; Xu, Kaidi; Cai, Yuanfang; Sun, Zhibo; Zhang, Yue","A survey on large language model (LLM) security and privacy: The Good, The Bad, and The Ugly",High-Confidence Computing,Exclude,,,Focuses on a non-compatible application of AI in security.,https://www.sciencedirect.com/science/article/pii/S266729522400014X
6B62S9QA,2024,"Salhab, Wissam; Ameyed, Darine; Jaafar, Fehmi; Mcheick, Hamid","A Systematic Literature Review on AI Safety: Identifying Trends, Challenges, and Future Directions",IEEE Access,Exclude,,,Focuses on a non-compatible application of AI safety.,https://ieeexplore.ieee.org/document/10630784
TJP6GXHM,2024,"Dekker, Martijn; Alevizos, Lampis",A threat-intelligence driven methodology to incorporate uncertainty in cyber risk analysis and enhance decision-making,Security and Privacy,Exclude,,,Focuses on a non-compatible application of security and risk modelling.,https://onlinelibrary.wiley.com/doi/abs/10.1002/spy2.333
WF97GSNF,2016,"B. S. Dykstra, Josiah A.; Orr, Stephen R.",Acting in the unknown: the cynefin framework for managing cybersecurity risk in dynamic decision making,2016 International Conference on Cyber Conflict (CyCon U.S.),Exclude,,,Focuses on a non-compatible application of security and risk modelling.,https://ieeexplore.ieee.org/document/7836616
QKGRRZKE,2022,"Schmidt, Eric","AI, Great Power Competition & National Security",Daedalus,Exclude,,,Focuses on a non-compatible application of AI and national security.,https://doi.org/10.1162/daed_a_01916
JNFTUKUL,2023,"Michael, Katina; Abbas, Roba; Roussos, George",AI in Cybersecurity: The Paradox,IEEE Transactions on Technology and Society,Exclude,,,Focuses on a non-compatible application of AI.,https://ieeexplore.ieee.org/document/10153442
98BWKKDI,2024,"Muminova, Elnorakhon; Ashurov, Mahammadjon; Akhunova, Shokhistakhon; Turgunov, Mukhriddin","AI in Small and Medium Enterprises: Assessing the Barriers, Benefits, and Socioeconomic Impacts",2024 International Conference on Knowledge Engineering and Communication Systems (ICKECS),Exclude,,,Focuses on a non-compatible application of AI.,https://ieeexplore.ieee.org/document/10616816
W4I4AKIF,,,"AI-Driven Cybersecurity: An Overview, Security Intelligence Modeling and Research Directions | SN Computer Science",,Exclude,,,Focuses on a non-compatible application of AI.,https://link.springer.com/article/10.1007/s42979-021-00557-0
3NYSTCWZ,,,An Empirical Study of Artifacts and Security Risks in the Pre-trained Model Supply Chain | Proceedings of the 2022 ACM Workshop on Software Supply Chain Offensive Research and Ecosystem Defenses,,Exclude,,,Focuses on a non-compatible application of AI.,https://dl.acm.org/doi/10.1145/3560835.3564547
5UJ7NDJ7,,,Artificial intelligence and the changing sources of competitive advantage - Krakowski - 2023 - Strategic Management Journal - Wiley Online Library,,Exclude,,,Focuses on a non-compatible application of AI.,https://sms.onlinelibrary.wiley.com/doi/10.1002/smj.3387
R67EJI8L,2023,"Shick, Michael; Johnson, Nathan; Fan, Yang",Artificial intelligence and the end of bounded rationality: a new era in organizational decision making,Development and Learning in Organizations: An International Journal,Maybe,AI Economics,Medium,Examines the organisational dynamics of AI use and impact on bounded rationality.,https://www.emerald.com/insight/content/doi/10.1108/dlo-02-2023-0048/full/html
3ZRCZL8Y,2021,"Bécue, Adrien; Praça, Isabel; Gama, João","Artificial intelligence, cyber-threats and Industry 4.0: challenges and opportunities",Artificial Intelligence Review,Exclude,,,Focuses on a non-compatible application of AI.,https://doi.org/10.1007/s10462-020-09942-2
GJA6URML,2024,"Habbal, Adib; Ali, Mohamed Khalif; Abuzaraida, Mustafa Ali","Artificial Intelligence Trust, Risk and Security Management (AI TRiSM): Frameworks, applications, challenges and future research directions",Expert Systems with Applications,Maybe,AI Security,Medium,"Examines AI TRiSM framework, including obstacles to implementation. ",https://www.sciencedirect.com/science/article/pii/S0957417423029445
YNYSTDAU,2020,"Zhang, Jin; Xiong, Xiong; An, Yahui; Feng, Xu",The Impact of Competition on Analysts’ Forecasts: A Simple Agent-Based Model,Journal of Systems Science and Complexity,Exclude,,,Focuses on a non-compatible application of agent-based models.,https://doi.org/10.1007/s11424-020-9006-2
MQPCTU2T,2020,"Tang, Ling; Lü, Huiling; Yang, Fengmei; Yu, Lean; Li, Jingjing",A Novel Integrated Measure for Energy Market Efficiency,Journal of Systems Science and Complexity,Exclude,,,Focuses on a non-compatible application of economics.,https://doi.org/10.1007/s11424-020-8328-4
ADP2I8ZZ,2021,"Lourenço, Inês; Mattila, Robert; Rojas, Cristian R.; Hu, Xiaoming; Wahlberg, Bo","Hidden Markov Models: Inverse Filtering, Belief Estimation and Privacy Protection",Journal of Systems Science and Complexity,Exclude,,,Focuses on a non-compatible application of game theory.,https://doi.org/10.1007/s11424-021-1247-1
CCT8VJCJ,2023,"Pinto, Alessandro",Analysis and Design of Uncertain Cyber-Physical Systems,Computation-Aware Algorithmic Design for Cyber-Physical Systems,Exclude,,,Focuses on a non-compatible application of security.,https://doi.org/10.1007/978-3-031-43448-8_3
L5JE6UI8,2023,"Subramanian, Jayakumar; Sinha, Amit; Mahajan, Aditya",Robustness and Sample Complexity of Model-Based MARL for General-Sum Markov Games,Dynamic Games and Applications,Exclude,,,Focuses on a non-compatible application of game theory.,https://doi.org/10.1007/s13235-023-00490-2
VJ6GJF9N,2023,"Amini, Hamed",Contagion risks and security investment in directed networks,Mathematics and Financial Economics,Include,Game Theory and Security Economics,High,Models contagion risks and optimnal security investment in inter-connected networks.,https://doi.org/10.1007/s11579-023-00336-w
LB8C7SPH,2022,"Atoyev, K. L.; Knopov, P. S.",Application of the Robust Methods for Estimation of Distribution Parameters with a Priori Constraints on Parameters in Economics and Engineering*,Cybernetics and Systems Analysis,Exclude,,,Focuses on a non-compatible application of chaos theory.,https://doi.org/10.1007/s10559-022-00504-8
STEBYWAR,2023,"Zhang, Enning; Wang, Gang; Ma, Runnian; Li, Juan",An Optimal Group Decision-Making Approach for Cyber Security Using Improved Selection-Drift Dynamics,Dynamic Games and Applications,Maybe,Game Theory and Security,Medium,Proposes an evolutionary game model of group decision-making in defender population.,https://doi.org/10.1007/s13235-022-00476-6
TPU22YAK,2023,"Caballero, William N.; Lunday, Brian J.",Military and Security Applications: Behavioral Modeling,Encyclopedia of Optimization,Exclude,,,Focuses on a non-compatible application of security.,https://link.springer.com/rwe/10.1007/978-3-030-54621-2_759-1
BVMVFFIV,2024,"Azarova, A. O.; Krak, Iu. V.; Nikiforova, L. O.; Azarov, O. D.; Belyakova, K. S.",Applying Systems Analysis and Mathematical Apparatus of Fuzzy Logic to Model the Process of Evaluating the Financial State of the Enterprise,Cybernetics and Systems Analysis,Exclude,,,Focuses on a non-compatible application of business economics.,https://doi.org/10.1007/s10559-024-00734-y
4JMTG883,2021,"Gomes, Orlando; Gubareva, Mariya",Complex Systems in Economics and Where to Find Them,Journal of Systems Science and Complexity,Exclude,,,Focuses on a non-compatible application of business economics.,https://doi.org/10.1007/s11424-020-9149-1
XJDR3LTR,2025,"Zarudnyi, O.; Koval, R.",Methodology for Constructing an Analytical Subsystem of the Unified Information System of the Social Sphere of Ukraine,Cybernetics and Systems Analysis,Exclude,,,Focuses on a non-compatible application of information  architectures.,https://doi.org/10.1007/s10559-025-00785-9
C5ADG5JV,2025,"Atoyev, K. L.; Knopov, P. S.",Mathematical Model of Risk Assessment for Critical Infrastructure,Cybernetics and Systems Analysis,Exclude,,,Focuses on a non-compatible application of chaos theory.,https://doi.org/10.1007/s10559-025-00760-4
9DFLSP5C,2025,"Matsumoto, Akio; Szidarovszky, Ferenc",Case Studies and Applications of Static Games,Game Theory and Its Applications,Exclude,,,Focuses on a non-compatible application of game theory.,https://doi.org/10.1007/978-981-96-0590-3_16
YQ9R9TTU,2021,"Salles, Maurice","Mathematics and Economics, with Special Attention to Social Choice Theory",Handbook of the Mathematics of the Arts and Sciences,Exclude,,,Focuses on a non-compatible application of math.,https://link.springer.com/rwe/10.1007/978-3-319-57072-3_48
8LHLFE7B,2025,"Fu, Jia; Huang, Yuanyuan; Wang, Dewei",Cooperative Mechanisms among Stakeholders in Government Data Openness: A Tripartite Evolutionary Game Analysis,Dynamic Games and Applications,Exclude,,,Focuses on a non-compatible application of games.,https://doi.org/10.1007/s13235-024-00615-1
